ID1,ID2
27557.0,30178.0
25393.0,25409.0
25377.0,25393.0
25367.0,25377.0
24639.0,25367.0
24645.0,24639.0
25367.0,25355.0
24639.0,25427.0
30271.0,24639.0
30442.0,30432.0
30478.0,30442.0
27585.0,30478.0
27594.0,27585.0
30410.0,27594.0
30475.0,27585.0
30419.0,30442.0
25102.0,28134.0
25195.0,25188.0
25244.0,25195.0
25254.0,25289.0
25268.0,25254.0
25195.0,25268.0
25339.0,25346.0
26571.0,25339.0
25333.0,26589.0
25339.0,25333.0
26515.0,30755.0
25304.0,26515.0
30744.0,25304.0
25304.0,26520.0
25235.0,30787.0
30830.0,30828.0
20085.0,20090.0
31142.0,31140.0
28199.0,31142.0
31142.0,21476.0
28295.0,21476.0
24426.0,28295.0
21494.0,24426.0
28211.0,21494.0
25972.0,28211.0
25975.0,25972.0
23485.0,21476.0
31153.0,23485.0
28307.0,24426.0
31094.0,24426.0
25972.0,31082.0
21494.0,23513.0
23502.0,23513.0
23549.0,23502.0
24701.0,24707.0
28773.0,24701.0
28689.0,24707.0
28701.0,24707.0
25705.0,25704.0
24695.0,25705.0
24701.0,24695.0
20335.0,25704.0
24695.0,28745.0
25719.0,25705.0
23653.0,31208.0
23692.0,23653.0
23653.0,23652.0
31290.0,31266.0
23664.0,31266.0
31256.0,23664.0
31283.0,31256.0
23698.0,23664.0
31317.0,31304.0
27677.0,31317.0
31389.0,21131.0
31379.0,31384.0
21131.0,31384.0
31354.0,21131.0
22548.0,22555.0
22486.0,22472.0
22387.0,22486.0
22510.0,31525.0
23611.0,31610.0
31559.0,23611.0
28439.0,31668.0
26857.0,23232.0
23237.0,26857.0
24912.0,23232.0
28886.0,24912.0
26385.0,23232.0
28921.0,26857.0
19916.0,19910.0
26805.0,19916.0
19910.0,31732.0
31695.0,19916.0
31787.0,31760.0
23030.0,23046.0
23074.0,23030.0
31858.0,23074.0
22841.0,22929.0
22848.0,22841.0
23061.0,23074.0
22865.0,23061.0
31959.0,22865.0
23092.0,23108.0
23030.0,23092.0
31950.0,22879.0
28178.0,22879.0
22929.0,28178.0
22874.0,22879.0
22859.0,22874.0
22975.0,22859.0
22862.0,22859.0
22865.0,22862.0
31822.0,22841.0
31870.0,28178.0
22815.0,22822.0
22808.0,22815.0
22800.0,22808.0
32113.0,22800.0
22815.0,32136.0
22797.0,22800.0
27284.0,22797.0
22797.0,22794.0
27502.0,22833.0
32167.0,22833.0
27523.0,22833.0
32238.0,32209.0
27449.0,32322.0
22061.0,27449.0
32310.0,22061.0
22061.0,32292.0
32351.0,21824.0
32429.0,22493.0
32495.0,32486.0
32516.0,32531.0
20132.0,20130.0
20149.0,20132.0
20153.0,20149.0
32620.0,20153.0
32625.0,20130.0
32682.0,20130.0
32702.0,32682.0
26925.0,20132.0
32663.0,32677.0
20153.0,32663.0
32615.0,20149.0
20188.0,20486.0
20646.0,20188.0
29269.0,20646.0
20490.0,20486.0
20492.0,20490.0
20500.0,20492.0
20507.0,20500.0
20514.0,20507.0
20515.0,20514.0
27980.0,20515.0
20427.0,27980.0
27951.0,20427.0
27083.0,20486.0
29208.0,27083.0
25531.0,26888.0
20295.0,25531.0
29090.0,20295.0
27728.0,20490.0
25032.0,20515.0
25528.0,25531.0
25513.0,25528.0
25172.0,25513.0
20627.0,25172.0
20275.0,20627.0
20283.0,20275.0
27700.0,20646.0
20275.0,27700.0
27695.0,29257.0
27700.0,27695.0
20181.0,20188.0
29342.0,20492.0
32753.0,23138.0
32764.0,32753.0
32725.0,32733.0
32753.0,32725.0
21672.0,21954.0
32856.0,21954.0
21943.0,21954.0
21942.0,21943.0
27418.0,21942.0
21942.0,21930.0
22013.0,32888.0
23402.0,25945.0
23412.0,23402.0
32963.0,23412.0
24550.0,24516.0
24559.0,24550.0
23383.0,24516.0
23389.0,23383.0
23391.0,23389.0
23398.0,23391.0
23389.0,33052.0
23452.0,33153.0
33139.0,23452.0
23452.0,25906.0
22610.0,33168.0
33193.0,22353.0
22449.0,22353.0
33225.0,22449.0
26249.0,26246.0
33297.0,26246.0
26238.0,26230.0
33311.0,26238.0
26238.0,26246.0
24984.0,26991.0
24987.0,24984.0
24991.0,24987.0
24981.0,24984.0
29622.0,24987.0
22263.0,33473.0
22677.0,22263.0
22691.0,22677.0
22667.0,22691.0
25780.0,22691.0
22677.0,22749.0
22263.0,25804.0
22589.0,33600.0
22595.0,22589.0
22237.0,22595.0
33614.0,22237.0
22589.0,33576.0
22595.0,33546.0
21017.0,21001.0
26061.0,21017.0
33725.0,26061.0
33674.0,21017.0
26061.0,26059.0
33751.0,33762.0
21038.0,26197.0
33839.0,26087.0
33870.0,28313.0
27106.0,29729.0
20319.0,27106.0
20666.0,20319.0
20319.0,29731.0
26751.0,26736.0
33910.0,26751.0
26751.0,26772.0
23251.0,26648.0
